Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,ChromeBrowserTest,1,0,246.21962499986694,246.21962499986694,246.21962499986694,246.21962499986694,1256.0,0.11330303547735278,0.0,250,250,250,250,250,250,250,250,250,250,250
GET,EdgeBrowserTest,5,0,330.0,712.545133200183,259.5754579997447,2071.7103329989186,1256.0,0.5665151773867638,0.0,330,630,630,2100,2100,2100,2100,2100,2100,2100,2100
,Aggregated,6,0,270.0,634.824215166797,246.21962499986694,2071.7103329989186,1256.0,0.6798182128641166,0.0,330,330,630,630,2100,2100,2100,2100,2100,2100,2100
